Unnamed: 0,Field,CANDELS_ID,z,RA_gal,DEC_gal,A,Clump_ID,dist_clump,flux_ratio,restuv_flux,RA_clump,DEC_clump,Raw_Flux_f125w,Background_Flux_f125w,Corrected_Flux_f125w,Raw_Flux_f160w,Background_Flux_f160w,Corrected_Flux_f160w,Raw_Flux_f275w,Background_Flux_f275w,Corrected_Flux_f275w,Raw_Flux_f435w,Background_Flux_f435w,Corrected_Flux_f435w,Raw_Flux_f606w,Background_Flux_f606w,Corrected_Flux_f606w,Raw_Flux_f775w,Background_Flux_f775w,Corrected_Flux_f775w,Raw_Flux_f850lp,Background_Flux_f850lp,Corrected_Flux_f850lp,Raw_Flux_f140w,Background_Flux_f140w,Corrected_Flux_f140w
2442,goodss,16435,1.094,53.1490763,-27.774305,11.003,3,20.80276694336597,0.0362831641521791,0.243695,53.14947107207544,-27.774244761293826,0.25887284335188787,0.10327544121044684,0.15559740214144102,0.23439422147589958,0.10931119053437818,0.1250830309415214,,,,0.02166436124461126,0.0004972968704833047,0.021167064374127954,0.06649849343932066,0.015316375763919208,0.05118211767540145,0.04603868223716742,0.016751504198022866,0.029287178039144556,0.036994287963989576,0.016952390232775342,0.020041897731214234,0.3617628564775122,0.19187318950665325,0.16988966697085897
2443,goodss,16435,1.094,53.1490763,-27.774305,11.003,4,7.900956429445741,0.0324875020318038,0.243695,53.149131992636335,-27.77417815942124,3.172330288462222,1.9303685063782279,1.2419617820839943,3.4508274642951906,2.116485514143548,1.3343419501516425,,,,0.04420052801821768,0.029423158299816274,0.014777369718401406,0.2867306402674283,0.17415982253889678,0.1125708177285315,0.3927786560003797,0.23536460576640936,0.15741405023397034,0.43674674100559246,0.2538557953679309,0.18289094563766156,4.73196360466336,2.8838581823388547,1.848105422324505
2444,goodss,16435,1.094,53.1490763,-27.774305,11.003,5,8.515580573278607,0.0360633449291355,0.243695,53.148981354264286,-27.774411521235308,3.1433524056268594,2.6866611553866617,0.45669125024019763,3.344724039143064,3.015109090182271,0.32961494896079335,,,,0.04742229092347889,0.031173967312951554,0.016248323610527336,0.3242544592364678,0.21980220561657096,0.10445225361989682,0.415879011243534,0.3048806894461006,0.11099832179743341,0.4267337180375499,0.3306615318612824,0.0960721861762675,4.632678026275004,4.070635479092609,0.5620425471823944
2445,goodss,16435,1.094,53.1490763,-27.774305,11.003,6,2.558341748086053,0.0830597004927373,0.243695,53.14913202500214,-27.77431149272845,5.430159940612716,3.8114551633665816,1.6187047772461347,6.255159892782313,4.34339779977896,1.911762093003353,,,,0.08047298986185301,0.043968914964104155,0.03650407489774886,0.44976640599193807,0.28166717398581864,0.16809923200611943,0.5838877562556173,0.4025151254410981,0.1813726308145192,0.636498302956299,0.4495385774209368,0.18695972553536216,8.51868102410251,5.816652881275126,2.702028142827383
2446,goodss,16435,1.094,53.1490763,-27.774305,11.003,7,15.500810059477535,0.0222541159316841,0.243695,53.149094286644704,-27.7740448332611,1.0279195194379376,0.5569220623157173,0.4709974571222203,1.0061990303652955,0.5690333257853627,0.43716570457993276,,,,0.02139302189080637,0.0068913104918083045,0.014501711398998068,0.12743155968432662,0.05826315630669494,0.0691684033776317,0.15248170526212002,0.07733675676921063,0.07514494849290938,0.1574023667100552,0.08254608611245036,0.07485628059760484,1.4513896420001373,0.8082054002912882,0.6431842417088491
2447,goodss,16435,1.094,53.1490763,-27.774305,11.003,8,17.729921390124662,0.022098097349134,0.243695,53.149207303465126,-27.774028145126863,0.4478694798563277,0.354971766232505,0.09289771362382271,0.4381713924297533,0.34929854251822534,0.08887284991152794,,,,0.024064845534592764,0.012077996140702546,0.011986849393890218,0.08655225893178603,0.04913741661490233,0.037414842316883704,0.08373198860249674,0.05882602932352937,0.02490595927896737,0.08042327203824341,0.060644353223016714,0.019778918815226698,0.6363748629654595,0.5017382150296688,0.13463664793579078
2448,goodss,16440,1.033,53.0509288,-27.7724089,10.044,1,2.6728636328851505,0.2986124601479099,0.552114,53.05089909030224,-27.772378755681448,17.22225031805308,7.155764543226783,10.066485774826297,18.3405786940896,7.706872376733569,10.633706317356031,,,,0.436412116954015,0.16637799288995841,0.2700341240640566,2.5526879831789957,0.9444529481854451,1.6082350349935506,2.8693321487585903,1.1307686503220276,1.7385634984365628,2.425441652550912,1.0068776447881835,1.4185640077627286,25.03479590801549,10.476239487667048,14.558556420348442
2449,goodss,16440,1.033,53.0509288,-27.7724089,10.044,2,17.912124385454675,0.0364857739123972,0.552114,53.05059769521768,-27.77239526618253,0.9907883882183013,0.6769800535136618,0.31380833470463954,0.9106834082752755,0.6294465106249989,0.2812368976502766,,,,0.060689383253421825,0.009840766470510591,0.050848616782911235,0.1932870282301882,0.10956170156316047,0.08372532666702773,0.16115760791426523,0.09968239497375335,0.06147521294051188,0.13522312070423723,0.088705887001614,0.04651723370262323,1.361421333865431,0.938773055880646,0.4226482779847851
2450,goodss,16440,1.033,53.0509288,-27.7724089,10.044,3,9.846024578478362,0.0639433950728752,0.552114,53.05082381047921,-27.772278716796645,4.0377321461436795,1.9613369343351341,2.0763952118085456,3.978357775587268,1.9920183426534361,1.986339432933832,,,,0.10631500765461523,0.046006086236803,0.060308921417812224,0.5918373924517178,0.24220064144553402,0.34963675100618385,0.7933246942616561,0.3228729496364989,0.4704517446251572,0.7427189549604571,0.30589283933997347,0.4368261156204837,5.659455312857706,2.7244009634328257,2.9350543494248806
2451,goodss,16447,1.31,53.21311,-27.7716967,7.662,1,1.431100974774317,0.0824774738349433,0.555061,53.213099805522496,-27.77171796188897,2.691909722767711,1.0032404764405276,1.6886692463271833,2.673095319600631,0.9543025427345758,1.7187927768660551,,,,0.21075928081811762,0.12876868220860754,0.08199059860951008,0.681365076624027,0.3471522428512055,0.3342128337728215,0.4864962571269384,0.21515085022165764,0.27134540690528075,0.3962389296147894,0.18577604641403905,0.21046288320075035,2.657311811898034e-18,-7.887996202645919e-19,3.446111432162626e-18
