Unnamed: 0,Field,CANDELS_ID,z,RA_gal,DEC_gal,A,Clump_ID,dist_clump,flux_ratio,restuv_flux,RA_clump,DEC_clump,Raw_Flux_f125w_mjy,Background_Flux_f125w_mjy,Corrected_Flux_f125w_mjy,Raw_Flux_f160w_mjy,Background_Flux_f160w_mjy,Corrected_Flux_f160w_mjy,Raw_Flux_f275w_mjy,Background_Flux_f275w_mjy,Corrected_Flux_f275w_mjy,Raw_Flux_f435w_mjy,Background_Flux_f435w_mjy,Corrected_Flux_f435w_mjy,Raw_Flux_f606w_mjy,Background_Flux_f606w_mjy,Corrected_Flux_f606w_mjy,Raw_Flux_f775w_mjy,Background_Flux_f775w_mjy,Corrected_Flux_f775w_mjy,Raw_Flux_f850lp_mjy,Background_Flux_f850lp_mjy,Corrected_Flux_f850lp_mjy,Raw_Flux_f140w_mjy,Background_Flux_f140w_mjy,Corrected_Flux_f140w_mjy,Fld,F,ID,W,RAJ2000,DEJ2000,Q,mag,e_mag,r,e_r,n,e_n,q_lc,e_q,PA,e_PA,S_N,COSMOS,GOODS,recno,GroupID,GroupSize,Separation
3592,goodss,24196,2.458,53.1695936,-27.6727952,4.88,2,0.8246211251235326,0.4868142301264512,0.273549,53.16958278512167,-27.6728063365272,0.12481963969558792,0.0435084065686811,0.0813112331269068,0.2015376548527404,0.07451745677262556,0.12702019808011483,,,,0.035835513809764435,0.008670650977438221,0.027164862832326213,0.06811488424733361,0.020404325700735637,0.047710558546597975,0.08239336616425055,0.025782040332648172,0.056611325831602374,0.07979432474937084,0.02613117653034632,0.05366314821902453,0.16152341384545002,0.06457508933806443,0.09694832450738561,G,H,24196,,53.169594,-27.672796,0,24.039,0.056,0.349,0.023,1.194,0.203,0.282,0.035,66.3,2.7,51.71,0,1,96060,861,3,0.003149722301441805
3593,goodss,24196,2.458,53.1695936,-27.6727952,4.88,3,8.98220462915425,0.0713194527827281,0.273549,53.1695639012956,-27.672656343673168,0.02485159742644438,0.01793290332957545,0.006918694096868931,0.0369966527913274,0.019727372231969877,0.01726928055935752,,,,0.020458029687814544,0.006116606431728402,0.01434142325608614,0.019826602302405315,0.010324829949939798,0.00950177235246552,0.019955095163420648,0.008208949603415294,0.011746145560005354,0.015079751967712308,0.008780996073033915,0.006298755894678393,0.046577140820313244,0.02085943467063439,0.025717706149678853,G,H,24196,,53.169594,-27.672796,0,24.039,0.056,0.349,0.023,1.194,0.203,0.282,0.035,66.3,2.7,51.71,0,1,96060,861,3,0.003149722301441805
3594,goodss,24201,1.124,53.147716,-27.67219,7.972,1,6.23616869560149,0.228133141975602,0.0767679,53.147752298535465,-27.672278634467936,0.4911088580112704,0.5067898611891493,-0.01568100317787883,0.7944368493419591,0.8240233017980062,-0.029586452456047067,,,,0.012391044081637239,0.0058117668106754585,0.0065792772709617805,0.018107541903951665,0.0161830879494416,0.0019244539545100608,0.0634548185177731,0.06066538160756519,0.0027894369102079088,0.16400036784473837,0.16665499319729965,-0.00265462535256126,0.598888212683471,0.6421842936327113,-0.04329608094924033,G,H,24201,,53.14772,-27.67219,0,21.25,0.008,0.391,0.004,2.507,0.052,0.263,0.006,-44.1,0.6,383.91,0,1,96065,,,0.012752915672595485
3595,goodss,24216,1.862,53.1385061,-27.6717834,7.29,1,15.315066111512548,0.1940236482064647,0.141729,53.13868140638681,-27.671996635237363,0.0398323257376067,0.027488746138856855,0.01234357959874984,0.04167732882504355,0.0308015392477831,0.010875789577260443,,,,0.01892427175414415,0.008046953783254672,0.010877317970889479,0.018760581296006155,0.008184922125066978,0.010575659170939179,0.02364377884576939,0.011272190919326078,0.012371587926443309,0.023529298781741762,0.009156268507934632,0.01437303027380713,0.04674598476597559,0.03329563600662946,0.013450348759346142,G,H,24216,,53.138504,-27.671783,0,22.915,0.019,0.467,0.009,0.864,0.053,0.526,0.01,-39.5,0.8,122.91,0,1,96080,,,0.006848409897167158
3596,goodss,24218,2.506,53.1631462,-27.6693572,5.642,1,5.658802876934308,0.1471060527026806,0.573847,53.1630888864615,-27.669441719840247,0.1287862276519688,0.03148504864468255,0.09730117900728623,0.2264318818334392,0.051050460264313584,0.17538142156912562,,,,0.029846650151378808,0.007827262668968094,0.02201938748241071,0.05054426523546672,0.014628240025667257,0.03591602520979947,0.06500871180958888,0.018029550340991657,0.04697916146859722,0.07226982734368448,0.02072108043122288,0.05154874691246161,0.19345706641985816,0.04327265536319297,0.1501844110566652,G,H,24218,,53.163143,-27.669357,0,23.396,0.023,0.359,0.009,0.652,0.062,0.467,0.015,32.3,1.2,85.62,0,1,96082,862,3,0.010227970805346447
3597,goodss,24218,2.506,53.1631462,-27.6693572,5.642,2,2.6799347006970144,0.2891467418748927,0.573847,53.16312648673636,-27.669341709503303,0.22690331401034242,0.06891076772007333,0.15799254629026907,0.29766028717000337,0.09378400826687115,0.20387627890313223,,,,0.06048097652661277,0.025879988662250896,0.03460098786436189,0.09811567410362176,0.03555393522015774,0.06256173888346403,0.10749522632310929,0.03634269897458632,0.07115252734852297,0.13313552644635746,0.04355904453093246,0.08957648191542497,0.2909866895066611,0.08372527715716453,0.20726141234949663,G,H,24218,,53.163143,-27.669357,0,23.396,0.023,0.359,0.009,0.652,0.062,0.467,0.015,32.3,1.2,85.62,0,1,96082,862,3,0.010227970805346447
3598,goodss,24218,2.506,53.1631462,-27.6693572,5.642,3,9.232120558138307,0.1370884813410678,0.573847,53.163295829989416,-27.66927499402658,0.07749264805277833,0.046901301513281195,0.030591346539497133,0.08272297668269589,0.05802269992970917,0.024700276752986725,,,,0.05306762835892384,0.022623433964197984,0.030444194394725857,0.0579460257972566,0.02857307994657147,0.029372945850685128,0.05320068952963059,0.02655377749494061,0.026646912034689985,0.057619633169392476,0.032339059881582026,0.025280573287810453,0.08535898078075373,0.05019169580296789,0.03516728497778583,G,H,24218,,53.163143,-27.669357,0,23.396,0.023,0.359,0.009,0.652,0.062,0.467,0.015,32.3,1.2,85.62,0,1,96082,862,3,0.010227970805346447
3599,goodss,24263,1.344,53.1271138,-27.6751323,10.297,1,5.292694257181308,0.0244921312916718,0.419594,53.12718303917012,-27.675197459370963,0.4899149809187363,0.27018221001600085,0.21973277090273538,0.7297860746619029,0.4336598730034775,0.2961262016584254,,,,0.01358562833873827,0.005846249445779389,0.007739378892958882,0.031297967771244876,0.017442445628815733,0.01385552214242915,0.0754893375416173,0.04243728058673502,0.03305205695488228,0.16201144040066187,0.09072253631363646,0.0712889040870254,6.570505995026647E-5,5.4166257650940415E-5,1.1538802299326047E-5,G,H,24263,,53.127113,-27.675131,0,21.109,0.01,0.729,0.008,1.495,0.028,0.578,0.005,-61.0,0.4,310.24,0,1,96127,863,5,0.00532987091585824
3600,goodss,24263,1.344,53.1271138,-27.6751323,10.297,2,4.961613900738348,0.0309894279061779,0.419594,53.12705130127597,-27.67519746350022,0.4651262165418564,0.2656504532644591,0.1994757632773973,0.6872239719431976,0.4131849385578016,0.2740390333853961,,,,0.012920555940576827,0.006728676668182369,0.0061918792723944585,0.031711787128065265,0.014887368712173514,0.016824418415891745,0.0801964973482196,0.04089119677464299,0.03930530057357662,0.16388131881819645,0.09801584238641914,0.06586547643177731,5.000573952985599E-5,3.1685434483666593E-5,1.83203050461894E-5,G,H,24263,,53.127113,-27.675131,0,21.109,0.01,0.729,0.008,1.495,0.028,0.578,0.005,-61.0,0.4,310.24,0,1,96127,863,5,0.00532987091585824
3601,goodss,24263,1.344,53.1271138,-27.6751323,10.297,3,9.655185782780151,0.1144978048820306,0.419594,53.12716421068058,-27.674980794374548,0.15267507284093956,0.14208480417820799,0.010590268662731571,0.23574823632712805,0.22775112184129861,0.00799711448582944,,,,0.028524972651544248,0.011647725520868754,0.016877247130675493,0.027579419993822032,0.01583805072654223,0.011741369267279806,0.046437982375794044,0.030960689849260842,0.0154772925265332,0.08152013860323279,0.06242595425677933,0.019094184346453474,1.1774791303515074E-4,8.790190961342343E-5,2.98460034217273E-5,G,H,24263,,53.127113,-27.675131,0,21.109,0.01,0.729,0.008,1.495,0.028,0.578,0.005,-61.0,0.4,310.24,0,1,96127,863,5,0.00532987091585824
